snake_id,Length,Diameter,Color-RGB-R,Color-RGB-G,Color-RGB-B,Rattle,Rattle-Index,Venom,Venom_ind,Food,Predator,Scales Per Inch,Species,Region,swamp,tree,ground,underground
1,0.503460437,0.112890431,10,25,35,2.242016561,8345,0.649666754,1,0.155202088,1.704346827,0.947498181,14,1,1,1,1,1
2,8.844918962,1.470224004,113,186,149,0,1,1.342337447,1,0.511122858,0.691129928,1.545508165,1,4,0,0,0,1
3,8.190358276,0.928412761,56,52,50,0,2,0,0,0.848618632,0.806451495,0.621611162,3,5,1,0,0,1
4,1.798698521,1.563505946,146,106,218,0,3,0,0,0.547943647,0.470597599,3.367532251,23,3,1,0,1,1
6,1.162487032,0.128645452,171,209,192,69.59952432,9995,0,0,0.406250842,0.870587456,1.327069956,11,1,0,1,0,1
7,14.91820805,1.744253219,84,7,8,0,5,0,0,0.675218211,1.565566716,1.323747515,19,1,1,0,1,0
9,2.022624353,0.973892291,248,68,189,0,7,0,0,0.139585475,0.262797822,2.412987863,20,7,0,1,0,0
10,5.358427494,1.028455328,165,185,207,0,8,0,0,0.778029147,1.411467339,1.74984335,6,3,1,1,1,1
13,8.630289568,1.45635258,92,74,82,0,11,0,0,0.390464908,2.150624793,1.19955941,9,5,1,0,1,0
17,0.885111259,0.269683995,98,19,25,0,15,0,0,0.277786156,0.188831402,0.894646222,4,6,0,0,1,0
20,5.112646041,2.41593072,57,62,70,0,18,0,0,0.324978153,0.394106244,2.622193337,9,9,0,0,1,1
21,22.6693559,2.951989112,55,54,51,28.50536915,9662,0,0,0.314637868,4.008328739,0.440680199,15,4,0,1,0,1
25,3.098620496,3.096642464,3,20,19,0,21,0,0,0.892760273,1.912791211,0.604659321,21,3,1,0,0,0
26,8.703155051,1.065658689,10,45,30,0,22,0,0,0.416459196,2.247920811,0.869883126,21,2,1,0,1,0
29,8.44956779,1.833099272,89,100,95,0,25,0,0,0.177224919,2.2474955,1.524310042,17,9,0,0,1,0
30,8.824468579,1.191790899,136,133,223,0,26,0,0,0.248706229,1.040459419,2.042435773,24,3,0,1,0,0
32,9.477499993,2.114136922,113,55,78,0,28,0,0,2.27590322,1.572012396,1.38024977,21,0,0,0,1,0
37,3.504165295,1.627012397,43,48,53,0,33,0,0,0.991184114,0.729342291,0.955154936,17,5,0,0,0,1
38,5.025303574,0.596785845,11,14,20,0,34,0,0,0.579337205,1.487263247,1.581936416,17,7,0,1,0,0
40,27.16241014,4.1972579,161,119,13,0,36,0,0,0.802056677,2.768707913,2.485016659,24,9,0,0,0,1
50,1.0026845,0.214809701,109,236,197,0,46,0,0,0.479029539,0.82035194,0.999223624,4,7,0,1,0,1
52,8.786977194,1.133515973,238,203,208,0,48,0,0,0.291606298,1.83015925,0.00059792,23,2,0,1,1,1
54,4.423053054,2.372540898,22,58,193,0,50,0,0,2.218604562,1.099590642,1.1990491,16,8,0,0,1,0
56,1.750969898,0.386876189,1,23,4,0,52,0,0,0.499855037,2.258398082,1.879961702,19,9,0,0,1,0
57,4.253145591,1.411114521,60,117,200,0,53,0,0,1.309738431,4.301032777,1.494727038,17,1,1,0,1,1
58,4.312705539,1.98666064,130,128,118,0,54,0,0,1.175646289,2.588137192,6.148179951,6,7,0,0,1,0
59,2.252462799,0.814509338,204,252,196,12.44377155,9130,0,0,0.953724845,1.89432336,3.317733821,15,5,1,0,1,0
60,2.096453039,0.17266765,15,115,108,0,55,0,0,0.666200892,1.59161778,3.351766671,4,2,1,0,0,1
62,2.770380265,1.661618336,24,41,34,0,57,0,0,0.798273624,0.010128576,3.038165461,19,9,0,1,1,1
63,7.743100935,1.89294504,101,183,99,6.668710983,8857,0,0,0.943545622,1.93601996,1.596743019,12,5,0,0,0,1
66,0.521995848,0.496520663,9,5,11,0,59,0,0,0.166976541,0.397416731,0.625128093,5,1,0,1,0,1
72,2.94195738,0.436181862,31,41,99,0,65,0,0,2.143066544,0.595746102,3.087492235,8,2,0,1,0,1
73,4.97374593,0.648494365,31,65,147,3.612508611,8584,0,0,1.111018014,1.765405641,3.011800516,15,2,0,0,0,1
75,11.76559109,3.043761197,214,207,184,18.53984558,9335,0,0,0.467329368,1.309979341,4.501778016,12,2,0,0,1,0
76,0.764893911,0.64569614,54,46,130,0,67,0,0,0.724601738,0.872084094,0.12938625,23,5,1,0,1,1
77,2.857427106,1.69126588,94,47,110,0,68,0,0,1.064113782,0.176301861,1.001355169,10,5,0,0,1,0
78,1.540065735,0.019803801,150,148,220,9.00104954,8973,0,0,0.952629795,0.0419948,1.869105812,11,7,1,1,1,1
84,1.615109377,0.221762172,22,193,202,20.43601587,9398,0,0,0.164534788,1.513213006,2.276772685,12,3,1,0,1,1
85,10.91833383,1.586391698,116,175,93,0,74,0,0,0.494214719,1.309009887,2.904869832,17,7,1,0,0,1
86,6.098429464,1.850897817,159,223,179,0,75,0,0,0.23063291,0.37916463,1.845592239,7,3,0,0,0,1
87,2.452338426,0.284989174,130,130,106,0,76,0,0,0.361822754,1.888775483,2.412113698,23,6,0,0,1,1
88,15.39401739,2.943576988,108,145,76,0,77,0,0,0.228695278,2.85213773,1.083545439,9,4,0,0,1,1
93,1.187212378,1.11969552,136,44,227,0,80,0,0,0.763707464,1.213862426,1.579120779,24,6,0,0,1,0
96,1.681627939,0.961473289,46,58,59,0,83,0,0,1.204515423,0.828019514,1.527682139,9,0,0,0,0,1
97,6.614568741,2.572932913,19,23,17,0,84,0,0,1.625536481,0.470981396,0.312148187,19,8,0,0,1,1
102,3.879294247,1.278702119,109,73,172,0,88,0,0,1.172244725,0.579831213,1.130327308,21,2,1,1,0,0
103,19.93348005,2.023426113,6,1,3,0,89,0,0,0.810811378,1.635260356,0.827908612,3,4,0,0,1,1
104,1.26331514,0.834249675,62,45,96,0,90,0,0,0.613959386,2.589490746,1.792171732,16,8,0,1,1,1
105,6.454689975,0.740484088,23,20,20,0,91,0,0,0.752312611,1.244781967,0.858937548,4,0,1,0,1,0
107,1.689562755,0.046262553,170,127,144,0,93,0,0,0.009999919,2.144351431,2.838250029,2,5,1,0,0,0
111,9.07640353,2.106234625,30,3,84,0,97,0,0,2.995071229,1.352331598,0.820570593,19,9,1,1,0,1
117,1.09580356,0.48064775,117,80,108,0,103,0,0,0.857474486,1.451823525,3.413671639,22,7,0,0,1,0
121,9.920772867,1.852303732,129,219,147,0,107,0,0,0.323620907,1.168892026,1.46666935,4,0,1,0,0,1
122,2.835744062,2.660441155,53,26,37,0,108,0,0,0.733332033,0.48564259,3.14220467,22,9,0,0,0,1
125,23.86879794,3.714571877,5,30,25,0,111,0,0,0.002969652,1.894078399,4.285947753,17,2,0,0,0,1
128,1.245044961,0.419980969,156,124,114,0,114,0,0,0.268991235,1.099553049,1.762958378,6,5,0,0,0,1
131,8.726448568,2.184733515,13,32,41,0,117,0,0,0.308450699,1.338787601,1.513711946,10,5,0,0,1,1
133,1.951038177,0.764214324,74,103,250,0,119,0,0,0.17482871,1.494597319,1.148164139,2,3,1,1,0,1
134,5.214589985,1.152598773,140,104,141,0,120,0,0,0.609574095,0.052160655,0.418350536,19,0,0,1,0,1
135,10.32994525,1.533259658,221,154,214,0,121,0,0,0.287681395,1.739747023,0.919363969,10,9,0,0,0,1
136,10.62478173,2.058149456,29,35,16,0,122,0,0,0.18063273,3.630833661,0.402391303,8,8,0,0,0,1
139,3.611653444,1.052778413,28,36,31,0,124,0,0,0.098898245,2.387919892,5.784573288,4,4,0,0,1,1
141,2.073515208,1.504894397,4,13,0,0,125,0,0,0.877786938,2.021470833,0.931301983,17,5,0,0,0,1
145,2.698525077,0.832524469,193,188,196,0,128,0,0,0.012257395,0.433818598,4.177144788,18,4,0,1,1,1
147,0.512252297,0.289341821,5,8,21,0,129,0,0,0.768259301,1.952391496,0.027118691,18,9,0,1,1,1
148,6.896678285,1.658095816,52,3,32,0,130,0,0,0.305021814,1.048877146,0.571352175,6,6,0,1,1,0
